month,area,SALES,VOLUME,dxmas,population,SEAS1,SEAS2,CATPRICE,INCOME
26,3,65262.55,119.105,0,4893,0,1,566.453,1950
1,4,64673.72,122.55,0,2415,0.46472,0.88546,586.487,1975
2,4,57770.73,106.14,0,2400,0.82298,0.56806,589.017,2025
3,4,56205.7,109.85,0,2360,0.99271,0.12054,555.593,2000
4,4,60937.02,120.55,0,2372,0.93502,-0.3546,541.796,1925
5,4,67178.57,134.17,0,2421,0.66312,-0.74851,544.148,1950
6,4,73023.01,150.72,0,2400,0.23932,-0.97094,519.75,2050
7,4,76338.14,151.62,0,2411,-0.23932,-0.97094,539.834,1975
8,4,97356.44,191.25,1,2377,-0.66312,-0.74851,545.194,1950
9,4,94770.61,196.085,0,2924,-0.93502,-0.3546,521.984,1975
10,4,99511.04,205.885,0,2948,-0.99271,0.12054,521.727,2050
11,4,100414.44,206.955,0,2956,-0.82298,0.56806,525.848,2125
12,4,94743.9,187.955,0,2973,-0.46472,0.88546,542.996,2125
13,4,111040.39,212.745,0,2991,0,1,555.715,2075
14,4,110677.4,215.84,0,3006,0.46472,0.88546,548.981,2100
15,4,110516.04,229.776,0,2982,0.82298,0.56806,513.55,2050
16,4,86970.48,167.382,0,2912,0.99271,0.12054,553.508,2000
17,4,81322.71,168.83,0,2938,0.93502,-0.3546,517.008,1950
18,4,97959.16,191.005,0,2980,0.66312,-0.74851,548.401,2200
19,4,103706.98,194.36,0,2936,0.23932,-0.97094,559.609,2150
20,4,107306.88,198,0,2950,-0.23932,-0.97094,573.376,2125
21,4,146079.1,262.008,1,2960,-0.66312,-0.74851,590.651,2175
22,4,71152.34,132.17,0,2964,-0.93502,-0.3546,567.876,2350
23,4,122469.42,232.345,0,3008,-0.99271,0.12054,556.173,2300
24,4,112951.67,205.445,0,3015,-0.82298,0.56806,578.429,2375
25,4,100378.65,178.93,0,2998,-0.46472,0.88546,586.54,2400
26,4,94943.05,162.315,0,3014,0,1,604.531,1950
1,5,68948.7,152.16,0,2583,0.46472,0.88546,494.741,1975
2,5,65199.22,144.965,0,2582,0.82298,0.56806,491.521,2025
3,5,74558.5,165.15,0,2563,0.99271,0.12054,498.857,2000
4,5,67612.25,154.195,0,2583,0.93502,-0.3546,473.616,1900
5,5,73182.01,156.665,0,2614,0.66312,-0.74851,503.695,1950
6,5,89670.71,194.755,0,2621,0.23932,-0.97094,492.929,2050
7,5,93829.16,196.4,0,2610,-0.23932,-0.97094,526.495,1975
8,5,107294.06,220.775,1,2530,-0.66312,-0.74851,522.88,1900
9,5,97406.16,209.84,0,2884,-0.93502,-0.3546,497.695,1975
10,5,101557,219.645,0,2904,-0.99271,0.12054,495.816,2050
11,5,105605.34,226.51,0,2928,-0.82298,0.56806,499.698,2125
12,5,101087.91,218.275,0,2986,-0.46472,0.88546,494.773,2150
13,5,109334.98,222.44,0,3037,0,1,523.273,2075
14,5,98444.13,214.52,0,3043,0.46472,0.88546,490.967,2100
15,5,104735.26,230.255,0,3060,0.82298,0.56806,492.436,2150
16,5,81087.57,172.96,0,2996,0.99271,0.12054,508.329,2125
17,5,85418,181.26,0,3049,0.93502,-0.3546,510.029,2175
18,5,102283.11,210.065,0,3066,0.66312,-0.74851,513.495,2350
19,5,112221.24,224.9,0,3051,0.23932,-0.97094,526.12,2300
20,5,119797.98,228.35,0,3078,-0.23932,-0.97094,553.422,2375
21,5,159831.05,309.035,1,3043,-0.66312,-0.74851,542.722,2400
22,5,76337.89,148.495,0,3042,-0.93502,-0.3546,544.935,2350
23,5,127100.83,241.74,0,3082,-0.99271,0.12054,552.725,2400
24,5,125605.68,243.25,0,3078,-0.82298,0.56806,543.282,2275
25,5,102411.62,194.59,0,3046,-0.46472,0.88546,543.693,2300
26,5,106566.6,199.73,0,3057,0,1,550.773,2350
1,6,51528.2,101.72,0,1968,0.46472,0.88546,546.957,1900
2,6,54313.72,109.965,0,1948,0.82298,0.56806,523.355,1950
3,6,50648.4,107.165,0,1936,0.99271,0.12054,507.439,2050
4,6,48354.39,98.385,0,1915,0.93502,-0.3546,524.339,1975
5,6,45681.51,97.59,0,1975,0.66312,-0.74851,501.475,1900
6,6,66110.98,137.915,0,1968,0.23932,-0.97094,506.168,1975
7,6,55503.01,119.405,0,1946,-0.23932,-0.97094,500.58,2050
8,6,79998.02,160.075,1,1901,-0.66312,-0.74851,526.544,2125
9,6,58264.15,120.68,0,2201,-0.93502,-0.3546,520.155,2150
10,6,71345.82,154.49,0,2193,-0.99271,0.12054,498.795,2075
11,6,75676.56,150,0,2194,-0.82298,0.56806,543.122,2100
12,6,65359.51,132.76,0,2246,-0.46472,0.88546,527.333,2050
13,6,72333,144.245,0,2280,0,1,531.924,2000
14,6,73737.58,148.01,0,2284,0.46472,0.88546,529.383,1950
15,6,76745.78,156.095,0,2360,0.82298,0.56806,522.264,2100
16,6,61282.3,123.755,0,2336,0.99271,0.12054,520.79,2150
17,6,67139.61,135.54,0,2299,0.93502,-0.3546,531.567,2125
18,6,71874.62,141.64,0,2360,0.66312,-0.74851,546.403,2175
19,6,75918.39,145.74,0,2351,0.23932,-0.97094,553.84,2350
20,6,75362.57,147.54,0,2353,-0.23932,-0.97094,536.811,2300
21,6,108538.09,204.285,1,2325,-0.66312,-0.74851,558.911,2375
22,6,52194.34,98.215,0,2314,-0.93502,-0.3546,559.13,2400
23,6,83701.65,155.865,0,2342,-0.99271,0.12054,565.826,2350
24,6,72411.34,138.05,0,2339,-0.82298,0.56806,550.827,2400
25,6,77017.38,139.565,0,2304,-0.46472,0.88546,570.251,2275
26,6,77007.72,140.1,0,2291,0,1,565.93,2250
