,date,stock_fb,stock_return_fb,log_stock_return_fb,actual_stock_return_fb,stock_ndaq,stock_return_ndaq,log_stock_return_ndaq,actual_stock_return_ndaq,expected_return_fb,abnormal_return_fb
0,2017-02-21,133.72,,,,68.6514,,,,,
1,2017-02-22,136.12,0.017947950942267466,0.017788788080807222,1.4000000000000057,68.5263,-0.0018222498011692277,-0.0018239121180828504,-1.125099999999989,-0.3478851996374699,1.7478851996374756
2,2017-02-23,135.36,-0.005583308845136577,-0.005598953774791766,-1.759999999999991,68.7283,0.0029477733366604962,0.0029434371721019023,-0.7980000000000018,-0.24621680372550458,-1.5137831962744863
3,2017-02-24,135.44,0.0005910165484632393,0.0005908419669666447,-0.9200000000000159,68.7283,0.0,0.0,-1.0,-0.30900193357636857,-0.6109980664236474
4,2017-02-27,136.41,0.007161842882457168,0.007136318680148968,-0.030000000000001137,68.4398,-0.004197688579522541,-0.004206523607359695,-1.288499999999999,-0.39867277497228126,0.3686727749722801
5,2017-02-28,135.54,-0.006377831537277359,-0.00639825679706199,-1.8700000000000045,68.4013,-0.0005625381722331025,-0.000562696456193969,-1.038499999999999,-0.32096840634497364,-1.549031593655031
6,2017-03-01,137.42,0.013870444149328578,0.01377512989496287,0.8799999999999955,69.4305,0.015046497654284183,0.014934421941313534,0.02919999999998879,0.010891411188527905,0.8691085888114676
7,2017-03-02,136.76,-0.00480279435307813,-0.004814364831829389,-1.6599999999999966,68.5359,-0.012884827273316439,-0.012968556663679532,-1.894599999999997,-0.5870592462723252,-1.0729407537276714
8,2017-03-03,137.17,0.002997952617724456,0.0029934677192150058,-0.5900000000000034,68.382,-0.00224553846961947,-0.00224806347183003,-1.153899999999993,-0.35683674290333695,-0.23316325709666647
9,2017-03-06,137.42,0.001822555952467741,0.0018208971126143676,-0.75,68.6418,0.0037992454154601864,0.003792046510440272,-0.7402000000000015,-0.22825155369887096,-0.521748446301129
10,2017-03-07,137.3,-0.0008732353369231272,-0.0008736168290043112,-1.1199999999999761,68.2281,-0.006026939852975967,-0.006045175160624205,-1.4137000000000057,-0.437587122780839,-0.6824128772191371
11,2017-03-08,137.72,0.0030589949016750725,0.003054325696397532,-0.5800000000000125,68.0358,-0.002818486811152634,-0.002822466224145807,-1.192300000000003,-0.36877213392449454,-0.21122786607551797
12,2017-03-09,138.24,0.00377577693871631,0.0037686665854225784,-0.47999999999998977,68.3724,0.004947395341864199,0.004935197197680669,-0.6633999999999958,-0.20438077165656027,-0.2756192283434295
13,2017-03-10,138.79,0.003978587962962839,0.003970694312002776,-0.45000000000001705,68.257,-0.001687815551304239,-0.0016892415167088105,-1.115399999999994,-0.34487027013473187,-0.10512972986528518
14,2017-03-13,139.6,0.00583615534260395,0.0058191909605235775,-0.18999999999999773,68.0839,-0.00253600363332706,-0.0025392247375149173,-1.1731000000000051,-0.36280443841391796,0.17280443841392024
15,2017-03-14,139.32,-0.002005730659025796,-0.002007744830471632,-1.2800000000000011,68.0165,-0.0009899550407659718,-0.000990445369886535,-1.0674000000000063,-0.3299510313582927,-0.9500489686417084
16,2017-03-15,139.72,0.0028710881424060127,0.0028669744408309178,-0.5999999999999943,68.4321,0.006110282063911139,0.006091689987244173,-0.584399999999988,-0.17982619117032866,-0.42017380882966565
17,2017-03-16,139.99,0.0019324363011738494,0.0019305715481027386,-0.7299999999999898,68.7606,0.0048003787696123765,0.004788893691929631,-0.6715000000000089,-0.20689839320008913,-0.5231016067999006
18,2017-03-17,139.84,-0.0010715051075077197,-0.0010720795795085794,-1.1500000000000057,68.49,-0.00393539323391596,-0.003943157270253782,-1.2706000000000017,-0.39310914217856685,-0.7568908578214388
19,2017-03-20,139.94,0.0007151029748283346,0.0007148474105252082,-0.9000000000000057,68.3837,-0.0015520513943639992,-0.0015532570738084849,-1.1062999999999903,-0.3420418311166967,-0.557958168883309
20,2017-03-21,138.51,-0.010218665142203851,-0.01027123413074345,-2.430000000000007,67.3885,-0.014553175683679169,-0.014660111920929475,-1.9952000000000112,-0.6183274842079581,-1.8116725157920488
21,2017-03-22,139.59,0.007797270955165783,0.007767029337659596,0.0800000000000125,67.3498,-0.0005742819620557146,-0.0005744469251015296,-1.0386999999999915,-0.32103056983987316,0.40103056983988566
22,2017-03-23,139.53,-0.0004298302170642759,-0.00042992262055157097,-1.0600000000000023,67.3788,0.0004305877671499598,0.0004304950908399521,-0.9710000000000036,-0.299988226815602,-0.7600117731844003
23,2017-03-24,140.34,0.00580520318211139,0.005788417920027365,-0.18999999999999773,67.4948,0.0017216097644956524,0.0017201294931279473,-0.8840000000000003,-0.27294710653329796,0.08294710653330023
24,2017-03-27,140.32,-0.00014251104460602987,-0.00014252120026984454,-1.0200000000000102,66.6831,-0.012026111641193127,-0.012099010370148525,-1.8117000000000019,-0.5612924776355115,-0.45870752236449874
25,2017-03-28,141.76,0.010262257696693257,0.010209958232897946,0.4399999999999977,66.8087,0.0018835357084479533,0.0018817640793343737,-0.8743999999999943,-0.2699632587780075,0.7099632587780051
26,2017-03-29,142.65,0.006278216704289043,0.006258590802738211,-0.10999999999998522,66.3545,-0.006798515762168702,-0.006821730949492548,-1.4542000000000002,-0.4501752304984611,0.34017523049847587
27,2017-03-30,142.41,-0.0016824395373291909,-0.0016838564281726764,-1.240000000000009,67.0503,0.010486101168722412,0.010431503356973104,-0.3042000000000087,-0.09273513481284873,-1.1472648651871604
